NME, 76Ge, 82Se, 96Zr, 100Mo, 110Pd, 116Cd, 124Sn, 128Te, 130Te, 134Xe, 136Xe, 148Nd, 150Nd, 154Sm, 160Gd, 198Pt, 232Th, 238U
F,-0.78,-0.667,-0.361,-0.511,-0.425,-0.335,-0.572,-0.718,-0.651,-0.686,-0.522,-0.363,-0.507,-0.34,-0.415,-0.329,-0.444,-0.525
GTAA,6.062,4.928,4.317,5.553,4.432,3.173,3.37,4.321,3.894,4.211,3.203,2.517,3.753,2.984,4.224,2.27,4.169,4.962
GTAP,-0.8571549960660897,-0.7142958300550748,-0.6428662470495673,-0.9047747180697614,-0.7619155520587465,-0.547626803042224,-0.5000070810385524,-0.6428662470495673,-0.5714366640440599,-0.6190563860477315,-0.4523873590348807,-0.47619722003671655,-0.7619155520587465,-0.5238169420403882,-0.7142958300550748,-0.5000070810385524,-0.7619155520587465,-0.9047747180697614
GTPP,0.17432466538497338,0.1445619176363194,0.13180645431546767,0.1998355920266768,0.16582102317107222,0.12330281210156653,0.10629552767376425,0.13180645431546767,0.11905099099461595,0.1275546332085171,0.09354006435291255,0.11054734878071482,0.17432466538497338,0.11479916988766539,0.15306555985022055,0.11479916988766539,0.16582102317107222,0.19558377091972623
GTMM,0.2028352216721833,0.16637046271988068,0.14813808324372937,0.2187885537138157,0.18232379476151309,0.132184751202097,0.12078951402950242,0.15269617811276723,0.13902189350565372,0.14585903580921047,0.10939427685690785,0.12078951402950242,0.18916093706506984,0.12762665633305917,0.1686495101543996,0.12306856146402133,0.1800447473269942,0.21195141141025897
TAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAP,0.23809861001835828,0.23809861001835828,-0.21428874901652242,-0.28571833202202995,-0.21428874901652242,-0.11904930500917914,0.11904930500917914,0.11904930500917914,0.14285916601101498,0.11904930500917914,0.11904930500917914,-0.11904930500917914,-0.11904930500917914,-0.11904930500917914,-0.21428874901652242,-0.11904930500917914,-0.21428874901652242,-0.21428874901652242
TPP,-0.05952549549730798,-0.05527367439035741,0.051021853283406846,0.06802913771120912,0.05952549549730798,0.03699084363046996,-0.03188865830212927,-0.03869157207325019,-0.03529011518768973,-0.03529011518768973,-0.026786472973788594,0.02253465186683802,0.04124266473742053,0.02933756563795893,0.046770032176456276,0.025936108752398476,0.051021853283406846,0.05952549549730798
TMM,0.03988333010408099,0.03874380638682153,-0.03646475895230262,-0.04672047240763773,-0.04102285382134044,-0.026209045496967506,0.02051142691067022,0.026209045496967506,0.023929998062448592,0.026209045496967506,0.01823237947615131,-0.015953332041632396,-0.030767140366005332,-0.02051142691067022,-0.030767140366005332,-0.015953332041632396,-0.03646475895230262,-0.04102285382134044
Fsd,-48.89,-41.22,-35.31,-51.96,-43.52,-32.45,-33.19,-41.82,-38.05,-39.45,-29.83,-31.71,-30.18,-31.83,-41.43,-31.87,-44.04,-52.48
GTAAsd,170.0,140.7,124.3,181.9,151.2,110.5,104.2,131.7,119.7,124.7,94.18,103.0,100.0,107.1,142.9,104.4,154.2,183.1
GTAPsd,-50.23880671387359,-41.857735641227386,-36.26241830579596,-54.11981405717284,-45.04825701547338,-32.71474901652243,-31.452826383425126,-39.69103829006033,-36.04812955677944,-37.23862260687123,-28.02420639916077,-32.04807290847103,-30.762340414371888,-32.28617151848938,-42.28631313926043,-31.762354576448995,-45.23873590348807,-53.69123655913979
GTPPsd,11.905099099461596,10.204370656681368,8.503642213901141,12.330281210156654,10.204370656681368,7.22809588181597,7.6532779925110255,9.779188545986312,8.928824324596198,8.928824324596198,6.802913771120912,7.6532779925110255,7.22809588181597,7.6532779925110255,9.779188545986312,7.22809588181597,10.204370656681368,12.330281210156654
TAPsd,-31.190917912404934,-29.73851639129295,25.952748492001053,37.85767899291897,32.28617151848938,20.071712824547603,-17.214529504327302,-21.190776291633888,-19.214557828481514,-19.595515604510883,-14.762113821138213,12.143029110936272,13.833529242066614,15.904987149226333,24.357487804878048,14.904972987149227,28.214685287175456,33.167136375557305
TPPsd,9.354006435291254,8.928824324596198,-8.078460103206083,-11.47991698876654,-9.779188545986312,-6.377731660425855,5.102185328340684,6.377731660425855,5.952549549730798,5.952549549730798,4.677003217645627,-3.8266389962555127,-4.251821106950571,-5.102185328340684,-7.6532779925110255,-4.677003217645627,-8.928824324596198,-10.204370656681368
