NME, 76Ge, 82Se, 96Zr, 100Mo, 110Pd, 116Cd, 124Sn, 128Te, 130Te, 136Xe
F , -1.74, -1.29, -1.44, -1.63, -2.32, -1.50, -2.33, -1.78, -1.52, -0.89
GTAA , 5.477,  3.870, 3.165, 3.959, 6.596, 4.238, 5.408, 5.232, 4.276, 3.165
GTAP , -2.016, -1.455, -1.447, -1.676, -2.439, -1.452, -2.273, -2.048, -1.738, -1.192
GTPP , 0.664, 0.481, 0.498, 0.574, 0.799, 0.469, 0.767, 0.690, 0.593, 0.395
GTMM , 0.510, 0.368, 0.395, 0.444, 0.622, 0.349, 0.624, 0.525, 0.467, 0.303
TAA , -, -, -, -, -, -, -, -, -, -
TAP , -0.353, -0.269, -0.297, -0.342, -0.371, -0.218, -0.570, -0.541, -0.496, -0.278
TPP , 0.103, 0.079, 0.096, 0.113, 0.126, 0.079, 0.178, 0.176, 0.161, 0.090
TMM , -0.037, -0.029, -0.037, -0.044, -0.046, -0.031, -0.063, -0.068, -0.060, -0.034
Fsd  , -139.5, -102.0, -114.3, -126.9, -168.0, -102.1, -168.7, -138.5, -119.5,-61.8
GTAAsd , 448.2, 321.2, 346.3, 400.3, 536.4, 314.1, 521.5, 471.7, 405.5, 230.1
GTAPsd, -215.3, -154.0, -171.3, -196.9, -256.1, -148.4, -253.8, -230.3, -198.9, -112.6
GTPPsd , 80.1, 57.1, 64.9, 74.5, 94.8, 54.6, 95.1, 86.7, 75.1, 42.5
TAPsd , -34.3, -26.2, -36.8, -44.5, -48.2, -31.3, -64.2, -66.4, -60.5, -37.0
TPPsd , 12.7, 9.7, 14.2, 17.4, 18.7, 12.3, 24.6, 25.7, 23.4, 14.4
