NME, 48Ca, 76Ge, 82Se, 124Sn, 130Te, 136Xe
F , -0.25, -0.59, -0.55, -0.66, -0.67, -0.54
GTAA , 1.08, 3.15, 2.97,  2.97, 2.97, 2.45
GTAP , -0.38, -0.94, -0.89, -0.95, -0.97, -0.79
GTPP , 0.13, 0.30, 0.28, 0.30, 0.31, 0.25
GTMM , 0.10, 0.22, 0.20, 0.23, 0.23, 0.19
TAA , -, -, -, -, -, -
TAP , -0.08, -0.01, -0.01, 0.01, 0.01, 0.01
TPP , 0.03, 0.00, 0.00, -0.01, -0.01, -0.01
TMM , -0.01, 0.00, 0.00, 0.00, 0.00, 0.00
Fsd  , -26, -59, -55, -63, -65, -52
GTAAsd , 85, 196, 183, 208, 214, 171
GTAPsd, -42, -91, -84, -98, -101, -80
GTPPsd , 16, 33, 31, 36, 37, 30
TAPsd , -12, -2, -2, 2, 3, 2
TPPsd , 5, 1, 1, -1, -1, -1
