PSFs,238U,232Th,204Hg,198Pt,192Os,186W,176Yb,170Er,160Gd,154Sm,150Nd,148Nd,146Nd,142Ce,136Xe,134Xe,130Te,128Te,124Sn,122Sn,116Cd,114Cd,110Pd,104Ru,100Mo,98Mo,96Zr,94Zr,86Kr,82Se,80Se,76Ge,70Zn,48Ca,46Ca
G01,7.72189213565847e-14,2.9945651190134084e-14,2.341736574789569e-15,1.3614809784917442e-14,1.446928848731415e-15,1.675776285388407e-15,6.852563521495705e-15,1.6799034497367864e-15,1.4789730208257563e-14,4.889080595018206e-15,9.787843496658906e-14,1.5055272714331776e-14,2.1293597833714478e-17,5.0601900191574775e-15,2.086617943481065e-14,8.341858207470543e-16,2.0048035673945616e-14,8.070095561935219e-16,1.2543139043681039e-14,1.0426887377984031e-16,2.288691827724607e-14,1.9685678493479016e-16,6.40617563217956e-15,1.4153582958451139e-15,2.095863579763105e-14,7.589501910945852e-18,2.6829302183889397e-14,7.395048979260417e-16,7.54438242568755e-16,1.2738665767087336e-14,5.227936089207586e-18,2.8980879818751363e-15,2.731141993167945e-16,2.913974214198877e-14,1.6645916360400901e-16
G02,4.205857452234531e-14,8.112685442140901e-15,1.1947981800462698e-16,6.059164287926293e-15,6.905375591126373e-17,1.2712536936600913e-16,3.2850344923577483e-15,2.5468296162183396e-16,1.8591456236203862e-14,3.1319303633590474e-15,4.456526390158002e-13,2.3359356634464793e-14,8.250153115000746e-21,4.190256161119124e-15,5.1485465184259e-14,2.1348326808954383e-16,5.199374535467418e-14,2.297164023526877e-16,2.6807767260575606e-14,3.936677011887503e-18,7.22671153145399e-14,1.8785484530019733e-17,1.059513709006891e-14,9.594451187670352e-16,7.543072835418135e-14,1.0541290665913402e-20,1.1580406217542447e-13,3.7745669465480677e-16,4.679800155053972e-16,4.399202245279862e-14,1.2643478959033723e-20,4.741740559572253e-15,1.0156567890794935e-16,1.8996398752002387e-13,5.857143296521533e-17
G03,3.0577252246376606e-14,8.483702475074043e-15,2.691072948691465e-16,4.8752457018584345e-15,1.59992871483734e-16,2.40880065827424e-16,2.5279489722040535e-15,3.512618853636492e-16,8.075576932089577e-15,2.0382190359288147e-15,7.765590952979322e-14,8.809981094181933e-15,1.1810390342842677e-19,2.3379184121127543e-15,1.398994442721653e-14,2.26549878317548e-16,1.3581434060812533e-14,2.3055646472618445e-16,8.003593401059968e-15,1.0051160949671876e-17,1.621236094213736e-14,3.194209461833216e-17,3.745253442044088e-15,5.927082558750622e-16,1.5131497535531314e-14,9.593442115486123e-20,2.0095247002048143e-14,2.7301181380925114e-16,3.006702664350069e-16,8.931648117847521e-15,9.405997174059597e-20,1.6392982172078775e-15,8.608344646054392e-17,2.245024749361224e-14,4.989045984992899e-17
G04,1.296188767181346e-14,4.502938833132262e-15,2.5116598527521334e-16,2.2228825116406827e-15,1.528300852304601e-16,1.9652520930527563e-16,1.1328600260081867e-15,2.2752037763138156e-16,2.7716672125194313e-15,8.438873617746728e-16,2.0340290132546646e-14,2.8854183985971755e-15,5.846635399568552e-19,9.042747381428121e-16,4.169972557158567e-15,1.2481361100394446e-16,4.023231706906327e-15,1.2306620220721005e-16,2.479805874657996e-15,1.0432496729942501e-17,4.6609164309953546e-15,2.4320950217465435e-17,1.239091717846085e-15,2.472904415536801e-16,4.308458877227474e-15,3.0734834441852296e-19,5.575093167418388e-15,1.242950251920549e-16,1.3059640155643156e-16,2.615611399611341e-15,2.494431343212911e-19,5.620791404284354e-16,4.391755057873591e-17,6.187142093754409e-15,2.671703573565965e-17
G05,5.80199652867695e-12,2.510445703492177e-12,2.251813652128595e-13,9.601568164582537e-13,1.3594055975455672e-13,1.479067973991733e-13,4.4576578502675564e-13,1.294035135717792e-13,7.346023281402764e-13,2.7864764697436894e-13,3.1640294646245778e-12,6.812876486639522e-13,2.2095766014876238e-15,2.62441903162103e-13,7.661174583252821e-13,5.1540983429494115e-14,7.089636092716312e-13,4.7979344956054325e-14,4.596142904365985e-13,7.773231419673396e-15,7.299701856177607e-13,1.3126558814498378e-14,2.422358898229198e-13,6.506445173107555e-14,5.909205884940459e-13,6.180413012969278e-16,6.884504910415429e-13,3.402425531449698e-14,3.1057009131885595e-14,3.1798117213727007e-13,3.6590195941029036e-16,8.77230654544254e-14,1.119620390873053e-14,4.3387811365804295e-13,5.438480056744318e-15
G06,1.6630456668456683e-11,7.381391268756999e-12,7.469964815104047e-13,3.2325742405429744e-12,4.740634502423475e-13,5.285516690034684e-13,1.6645432611165077e-12,5.003936721356938e-13,2.9590997479897133e-12,1.1657717110754932e-12,1.321830290871383e-11,2.9091496795396563e-12,9.751613798879274e-15,1.1668964419292668e-12,3.58139175632369e-12,2.478446220752129e-13,3.429807683744596e-12,2.389869425161983e-13,2.3159069417063518e-12,4.060448156825115e-14,3.788751823842139e-12,7.103583532033981e-14,1.3264199909128696e-12,3.7646511939689247e-13,3.4569334621776535e-12,3.837838007304956e-15,4.1867962818971525e-12,2.1597184910664365e-13,2.1689902058867503e-13,2.256016585367187e-12,2.773780631758575e-15,6.711356203020311e-13,9.314430762455198e-14,4.756250805988701e-12,6.534022860229068e-14
G07,1.4559592900789949e-09,5.938857233880723e-10,5.127940465166729e-11,2.511498599409438e-10,3.153487980306457e-11,3.517253633617438e-11,1.2248424520760842e-10,3.272428077463954e-11,2.4214991454410615e-10,8.322106973419409e-11,1.5104723703054816e-09,2.415201069206391e-10,5.40900693580199e-13,8.381337077269832e-11,3.152550200653936e-10,1.464458490197423e-11,3.00979642311899e-10,1.3972017120243577e-11,1.8846702657086505e-10,2.086704880228028e-12,3.4277438067959656e-10,3.713028211692642e-12,9.738045576355499e-11,2.2519256348377888e-11,3.0653121398710825e-10,1.731645934199182e-13,3.8612220950665695e-10,1.1739083262881375e-11,1.1368243411541027e-11,1.7628777334894505e-10,1.09881507945049e-13,4.048325596017211e-11,4.131914616240595e-12,3.744495388793467e-10,2.316076484289546e-12
G08,2.5571735175896504e-10,1.0144360086440822e-10,7.741555783465448e-12,3.755111067114497e-11,4.528616382096933e-12,4.932086490177888e-12,1.6525743001912582e-11,4.246879930425069e-12,3.0500628932444016e-11,1.0044787973417192e-11,1.866094850828081e-10,2.8774237154949002e-11,6.12846625231487e-14,9.539852341596178e-12,3.4556142978015553e-11,1.5319554775688929e-12,3.1921149111622623e-11,1.411857229147547e-12,1.9150737522479333e-11,2.0009114345020616e-13,3.4029912395025386e-11,3.442159962982462e-13,9.084685240239879e-12,1.9711323282563552e-12,2.713673596717973e-11,1.3946077303283756e-14,3.304338666731461e-11,9.353321438419457e-13,8.253728289054007e-13,1.292578099578085e-11,7.250039371909769e-15,2.718639701614043e-12,2.5117898745533373e-13,1.8387411522745275e-11,9.77877454577827e-14
G09,2.0726341222166892e-09,8.692659437197224e-10,8.492021062095357e-11,4.199835783139383e-10,5.4899756487921564e-11,6.270980685862329e-11,2.269854249899385e-10,6.304375475629592e-11,4.807298794452848e-10,1.7240275501922317e-10,3.0576544189949436e-09,5.069446804391789e-10,1.1935044158827275e-12,1.8412816342742764e-10,7.192763307530538e-10,3.500304064607941e-11,7.097436254782837e-10,3.4572555981954976e-11,4.638627493309536e-10,5.440685742332228e-12,8.635410192276986e-10,1.0013864251205822e-11,2.6105863970940216e-10,6.433585320616307e-11,8.660724327608273e-10,5.37537514663662e-13,1.1286210583242e-09,3.684349776707252e-11,3.915854019078349e-11,6.014654750537463e-10,4.1634547639432733e-13,1.5079644564880715e-10,1.6998200647955826e-11,1.9086263852251377e-09,1.3721035964206493e-11
G010,3.057725224637656e-14,8.483702475074054e-15,2.6910729486914675e-16,4.87524570185843e-15,1.5999287148373339e-16,2.4088006582742326e-16,2.527948972204058e-15,3.512618853636495e-16,8.075576932089576e-15,2.0382190359288103e-15,7.765590952979313e-14,8.809981094181925e-15,1.1810390342842555e-19,2.3379184121127567e-15,1.398994442721653e-14,2.265498783175479e-16,1.3581434060812533e-14,2.3055646472618464e-16,8.003593401059974e-15,1.0051160949671868e-17,1.6212360942137348e-14,3.194209461833215e-17,3.7452534420440846e-15,5.927082558750626e-16,1.5131497535531304e-14,9.593442115486211e-20,2.0095247002048146e-14,2.730118138092512e-16,3.0067026643500708e-16,8.931648117847539e-15,9.405997174059615e-20,1.639298217207876e-15,8.608344646054404e-17,2.2450247493612222e-14,4.9890459849929e-17
