PSFs,238U,232Th,204Hg,198Pt,192Os,186W,176Yb,170Er,160Gd,154Sm,150Nd,148Nd,146Nd,142Ce,136Xe,134Xe,130Te,128Te,124Sn,122Sn,116Cd,114Cd,110Pd,104Ru,100Mo,98Mo,96Zr,94Zr,86Kr,82Se,80Se,76Ge,70Zn,48Ca,46Ca
G01,5.0890822549355157e-14,2.0470876087557303e-14,1.777085718031009e-15,1.0228544576691807e-14,1.1305095067324772e-15,1.3232443189151212e-15,5.442291963360166e-15,1.3702699509537755e-15,1.1961515216469384e-14,4.058516184853728e-15,7.746488558448423e-14,1.2411064793029527e-14,1.8423655463839313e-17,4.2768826596399194e-15,1.7557009517188656e-14,7.293109057881541e-16,1.7032243710599707e-14,7.114250268567086e-16,1.082773057500018e-14,9.363191086813555e-17,1.9758407896994265e-14,1.7766755429427503e-16,5.672894296115233e-15,1.2804898495699235e-15,1.856913574276002e-14,7.046627455349908e-18,2.3866544134544166e-14,6.809283988285629e-16,7.02993631680946e-16,1.1688196533205737e-14,4.9669771873329264e-18,2.7106488005648057e-15,2.599428851974446e-16,2.7789521565041028e-14,1.622237118660463e-16
G02,3.260931362789843e-14,6.888135659877588e-15,1.2792995474660792e-16,5.196103457976521e-15,7.458376384612764e-17,1.3024422606115866e-16,2.8954338668060413e-15,2.4606072410216976e-16,1.5827925352375074e-14,2.791486904046531e-15,3.592800858812153e-13,2.0036148823823156e-14,1.7679923524444903e-20,3.739049652179142e-15,4.4357217702060725e-14,2.0370484795174564e-16,4.5118296283192594e-14,2.1881045169151955e-16,2.3666921781952113e-14,4.197307349243245e-18,6.337291384890515e-14,1.8920733346192107e-17,9.59722971353986e-15,8.996173032382607e-16,6.756123236760915e-14,1.4419108122922362e-20,1.0389815368674728e-13,3.598893370732382e-16,4.473804791286309e-16,4.066450577488589e-14,1.51277555218337e-20,4.485434339772202e-15,9.900695185060042e-17,1.814216207123141e-13,5.774420632543562e-17
G03,1.473312549170744e-14,4.320748948597356e-15,1.645248163769669e-16,2.9852896345943252e-15,1.0330994175421744e-16,1.5902256749256296e-16,1.7138251268387395e-15,2.4726529649147173e-16,5.736357402505252e-15,1.4999354496113427e-15,5.4849379127860424e-14,6.488549291394294e-15,9.155962673918629e-20,1.780379028030427e-15,1.0756376186923203e-14,1.8124073933407092e-16,1.0616261531859043e-14,1.872507400052727e-16,6.399710941568934e-15,8.375517788130056e-18,1.3041567819487713e-14,2.6908597960949126e-17,3.1100970412982705e-15,5.058946705081831e-16,1.270314959829305e-14,8.459302264398258e-20,1.7021510735329116e-14,2.396371080563787e-16,2.6950514201388996e-16,7.910232696954879e-15,8.640706079350327e-20,1.4863596437377851e-15,7.975172734033666e-17,2.1128314824460937e-14,4.802065755842242e-17
G04,1.0965339117219893e-14,4.084448240267529e-15,2.780984465902062e-16,2.0309260335151606e-15,1.702031245866139e-16,2.0818039817842594e-16,1.0540328635301874e-15,2.2783312982495953e-16,2.511153950862832e-15,7.890673609792114e-16,1.774119601263457e-14,2.6248172837671887e-15,1.2694675675638773e-18,8.448383613478421e-16,3.7967387469009036e-15,1.2251036218856132e-16,3.678447782210327e-15,1.2046679234666851e-16,2.2925774363774367e-15,1.1284169023141264e-17,4.285897995416631e-15,2.4918765107413637e-17,1.1644584263602079e-15,2.380257685394977e-16,4.0105008964708405e-15,4.2307897723988708e-19,5.190699637693307e-15,1.209356942686112e-16,1.2708607539806996e-16,2.481876279064115e-15,2.9975666556677524e-19,5.419309305160112e-16,4.328453114427732e-17,5.985645720573703e-15,2.64800401034192e-17
G05,3.1960372323411926e-12,1.4531544649681142e-12,1.518612428241227e-13,6.441367085126156e-13,9.578901238572688e-14,1.0599801220959077e-13,3.246663048786417e-13,9.748771458763312e-14,5.53168912025213e-13,2.1664741448394116e-13,2.348568886815839e-12,5.278686222922327e-13,1.805318473522181e-15,2.0959923373182948e-13,6.132641765947538e-13,4.297470002851127e-14,5.752035594099054e-13,4.048564814851091e-14,3.8039346682321246e-13,6.711943798519213e-15,6.059931002983775e-13,1.1424691041437211e-14,2.071111445272299e-13,5.70513209632016e-14,5.081181254151873e-13,5.588161743603608e-16,5.959102699742898e-13,3.0537684376727236e-14,2.834319203696973e-14,2.860750035273262e-13,3.416942252389206e-16,8.066647572893389e-14,1.0504206352689539e-14,4.106569226702587e-13,5.264860919538542e-15
G06,7.862016494701643e-12,3.698563205575055e-12,4.518100627424814e-13,1.9556188621161872e-12,3.031903821711704e-13,3.4571723949471453e-13,1.1175852246711044e-12,3.4937301714119957e-13,2.082056884415944e-12,8.510713576055294e-13,9.228086473815962e-12,2.1238534617478958e-12,7.516689068940642e-15,8.821149317045269e-13,2.731125845110813e-12,1.971528421958079e-13,2.6602311070433558e-12,1.9305579276818845e-13,1.8390093150829994e-12,3.368237968691305e-14,3.0261749498432217e-12,5.958143164469569e-14,1.095243452956218e-12,3.1987632441969215e-13,2.8849450922862004e-12,3.372956187163321e-15,3.5257965114883732e-12,1.8885633774001205e-13,1.9376895187024248e-13,1.989405627518978e-12,2.5418078376545834e-15,6.06507271679676e-13,8.608417860983242e-14,4.4652923647322475e-12,6.280297333878144e-14
G07,1.018130263695192e-09,4.183335331943334e-10,3.8116592892784976e-11,1.946986322109008e-10,2.413213666883323e-11,2.744727287898685e-11,9.976375524365043e-11,2.6716057636716035e-11,2.0347801356268926e-10,7.075998053303475e-11,1.2595515772678634e-09,2.0653865516873936e-10,4.4855142740583013e-13,7.260986378016995e-11,2.7482209410467507e-10,1.2879386088210217e-11,2.643945041512677e-10,1.2399424466559742e-11,1.6746634353022327e-10,1.8513039346323505e-12,3.0505494810364323e-10,3.3363291591012507e-12,8.817027622927193e-11,2.0627654889338257e-11,2.7833213240525824e-10,1.577310036782488e-13,3.5168696064364873e-10,1.0898545140997948e-11,1.0678449689554721e-11,1.6444393652301294e-10,1.0315769133843493e-13,3.8297188308744555e-11,3.94678951244674e-12,3.5994322270584843e-10,2.2612135230000544e-12
G08,2.0985056363629726e-10,8.305064433967934e-11,6.438245347329011e-12,3.244094969064668e-11,3.82977275723812e-12,4.230319869532683e-12,1.4661630454444946e-11,3.752763169701245e-12,2.7543907977427553e-11,9.127950461924803e-12,1.662374238533931e-10,2.6216624586982314e-11,5.3905271452742855e-14,8.760432889026343e-12,3.173571888408038e-11,1.4155772385587429e-12,2.943325131281924e-11,1.3117947345381925e-12,1.7791683206453046e-11,1.8502896885736054e-13,3.1576434965631194e-11,3.214468805247611e-13,8.539637017368257e-12,1.867200802065558e-12,2.5456238988303532e-11,1.3074258547754783e-14,3.101541361845628e-11,8.92833280048954e-13,7.932547224576548e-13,1.2325886837619079e-11,6.938519922825987e-15,2.6211532853044598e-12,2.438272608580792e-13,1.7839991282091987e-11,9.622000389436042e-14
G09,1.2350936913791752e-09,5.268622032618344e-10,5.64203271407716e-11,2.9217339911285746e-10,3.8018273886366607e-11,4.452505796690274e-11,1.6973814372258028e-10,4.755378165031749e-11,3.758899574353877e-10,1.371624748395378e-10,2.386694530324806e-09,4.0690355412135674e-10,9.331262496892791e-13,1.504920194238232e-10,5.951893825611744e-10,2.9300209956974747e-11,5.93984467321978e-10,2.930601513224364e-11,3.942272388650168e-10,4.631140661627716e-12,7.370909285238355e-10,8.658023134387674e-12,2.276750176831959e-10,5.698762567705134e-11,7.611929971501118e-10,4.757345267039102e-13,9.975088750968902e-10,3.326874019184708e-11,3.5950394404729674e-11,5.48833785093742e-10,3.834299250129009e-13,1.3997093734187936e-10,1.5977137311561805e-11,1.8177156514890937e-09,1.3292005091111107e-11
G010,3.001170517410261e-14,7.349236088332908e-15,2.0717508747043652e-16,4.553896759117498e-15,1.2542415023805516e-16,1.9485594474678306e-16,2.388379025091128e-15,3.021021038129086e-16,8.74572037494227e-15,1.993462825465391e-15,1.1688238579933294e-13,9.800957613240099e-15,9.574410725397504e-20,2.3515011834699832e-15,1.66928006881531e-14,2.085119889197598e-16,1.6206991332697407e-14,2.142578751506341e-16,9.085177382025509e-15,8.903162585445552e-18,1.9756538089261206e-14,2.89844063039836e-17,4.021875445162156e-15,5.836419544400605e-16,1.823485186513046e-14,8.636728739654976e-20,2.4862775252064195e-14,2.655093014101436e-16,2.9568880302175743e-16,1.0136453384673985e-14,8.763934242201516e-20,1.698028307161207e-15,8.38964219313572e-17,2.530723982310701e-14,4.9182230075279755e-17
